id,topic,question_type,age_group,content_length,difficulty
edu_qa_0469,language_literacy,factual,4-6,4,beginner
edu_qa_0470,nutrition_cooking,factual,4-6,14,beginner
edu_qa_0471,nutrition_cooking,instructional,4-6,12,beginner
edu_qa_0472,safety_community,factual,4-6,20,intermediate
edu_qa_0473,language_literacy,factual,5-7,36,intermediate
edu_qa_0474,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0475,general_knowledge,factual,4-6,5,beginner
edu_qa_0476,language_literacy,factual,4-6,17,beginner
edu_qa_0477,general_knowledge,factual,4-6,8,beginner
edu_qa_0478,nutrition_cooking,general,3-4,14,beginner
edu_qa_0479,general_knowledge,instructional,4-6,19,beginner
edu_qa_0480,general_knowledge,explanatory,4-6,20,intermediate
edu_qa_0481,nutrition_cooking,instructional,3-4,10,beginner
edu_qa_0482,general_knowledge,factual,3-4,3,beginner
edu_qa_0483,nature_science,instructional,4-6,17,beginner
edu_qa_0484,language_literacy,factual,4-6,8,beginner
edu_qa_0485,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0486,general_knowledge,general,4-6,16,beginner
edu_qa_0487,math_numbers,factual,4-6,19,beginner
edu_qa_0488,arts_creativity,instructional,3-4,14,beginner
edu_qa_0489,general_knowledge,instructional,4-6,18,beginner
edu_qa_0490,arts_creativity,explanatory,4-6,16,beginner
edu_qa_0491,physical_activity,general,3-4,7,beginner
edu_qa_0492,language_literacy,general,3-4,5,beginner
edu_qa_0493,nature_science,instructional,4-6,15,beginner
edu_qa_0494,arts_creativity,factual,4-6,16,beginner
edu_qa_0495,general_knowledge,general,4-6,7,beginner
edu_qa_0496,health_body,instructional,4-6,16,beginner
edu_qa_0497,health_body,general,4-6,13,beginner
edu_qa_0498,social_emotional,factual,4-6,15,beginner
edu_qa_0499,safety_community,explanatory,4-6,19,beginner
edu_qa_0500,health_body,instructional,4-6,14,beginner
edu_qa_0501,nutrition_cooking,factual,4-6,18,beginner
edu_qa_0502,language_literacy,factual,4-6,14,beginner
edu_qa_0503,general_knowledge,instructional,4-6,5,beginner
edu_qa_0504,general_knowledge,factual,4-6,3,beginner
edu_qa_0505,physical_activity,general,4-6,14,beginner
edu_qa_0506,general_knowledge,recall,4-6,17,beginner
edu_qa_0507,general_knowledge,explanatory,4-6,5,beginner
edu_qa_0508,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0509,general_knowledge,factual,4-6,16,beginner
edu_qa_0510,language_literacy,factual,4-6,17,beginner
edu_qa_0511,general_knowledge,factual,4-6,16,beginner
edu_qa_0512,safety_community,explanatory,4-6,16,beginner
edu_qa_0513,general_knowledge,factual,4-6,16,beginner
edu_qa_0514,social_emotional,factual,4-6,12,beginner
edu_qa_0515,general_knowledge,factual,3-4,12,beginner
edu_qa_0516,general_knowledge,factual,4-6,14,beginner
edu_qa_0517,general_knowledge,factual,3-4,12,beginner
edu_qa_0518,nutrition_cooking,general,4-6,13,beginner
edu_qa_0519,nutrition_cooking,instructional,4-6,18,beginner
edu_qa_0520,nutrition_cooking,explanatory,4-6,21,intermediate
edu_qa_0521,nutrition_cooking,instructional,4-6,14,beginner
edu_qa_0522,general_knowledge,instructional,4-6,4,beginner
edu_qa_0523,arts_creativity,factual,4-6,9,beginner
edu_qa_0524,safety_community,explanatory,4-6,23,intermediate
edu_qa_0525,nutrition_cooking,instructional,4-6,16,beginner
edu_qa_0526,arts_creativity,explanatory,4-6,19,beginner
edu_qa_0527,language_literacy,explanatory,6-8,27,intermediate
edu_qa_0528,general_knowledge,explanatory,4-6,19,beginner
edu_qa_0529,health_body,explanatory,4-6,20,intermediate
edu_qa_0530,general_knowledge,explanatory,4-6,2,beginner
edu_qa_0531,general_knowledge,factual,3-4,7,beginner
edu_qa_0532,nutrition_cooking,general,4-6,13,beginner
edu_qa_0533,arts_creativity,factual,4-6,19,beginner
edu_qa_0534,general_knowledge,explanatory,4-6,20,intermediate
edu_qa_0535,general_knowledge,factual,4-6,19,beginner
edu_qa_0536,nutrition_cooking,factual,4-6,9,beginner
edu_qa_0537,nutrition_cooking,general,3-4,13,beginner
edu_qa_0538,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0539,arts_creativity,factual,4-6,11,beginner
edu_qa_0540,general_knowledge,general,3-4,12,beginner
edu_qa_0541,math_numbers,general,4-6,18,beginner
edu_qa_0542,language_literacy,factual,3-4,8,beginner
edu_qa_0543,nutrition_cooking,explanatory,4-6,20,intermediate
edu_qa_0544,nutrition_cooking,explanatory,6-8,25,intermediate
edu_qa_0545,general_knowledge,factual,4-6,5,beginner
edu_qa_0546,general_knowledge,factual,4-6,14,beginner
edu_qa_0547,physical_activity,factual,3-4,9,beginner
edu_qa_0548,nutrition_cooking,general,4-6,21,intermediate
edu_qa_0549,nutrition_cooking,instructional,4-6,18,beginner
edu_qa_0550,social_emotional,general,4-6,23,intermediate
edu_qa_0551,health_body,instructional,4-6,13,beginner
edu_qa_0552,health_body,instructional,3-4,8,beginner
edu_qa_0553,general_knowledge,explanatory,4-6,11,beginner
edu_qa_0554,safety_community,factual,4-6,13,beginner
edu_qa_0555,safety_community,explanatory,4-6,23,intermediate
edu_qa_0556,language_literacy,factual,4-6,12,beginner
edu_qa_0557,arts_creativity,factual,3-4,12,beginner
edu_qa_0558,general_knowledge,general,4-6,19,beginner
edu_qa_0559,nutrition_cooking,instructional,3-4,11,beginner
edu_qa_0560,math_numbers,factual,4-6,17,beginner
edu_qa_0561,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0562,nutrition_cooking,general,4-6,16,beginner
edu_qa_0563,nature_science,general,3-4,12,beginner
edu_qa_0564,general_knowledge,factual,4-6,22,intermediate
edu_qa_0565,general_knowledge,factual,4-6,7,beginner
edu_qa_0566,social_emotional,factual,4-6,13,beginner
edu_qa_0567,arts_creativity,factual,4-6,1,beginner
edu_qa_0568,math_numbers,factual,4-6,9,beginner
edu_qa_0569,nutrition_cooking,factual,4-6,14,beginner
edu_qa_0570,nutrition_cooking,general,3-4,11,beginner
edu_qa_0571,language_literacy,instructional,4-6,10,beginner
edu_qa_0572,general_knowledge,general,4-6,19,beginner
edu_qa_0573,math_numbers,factual,4-6,2,beginner
edu_qa_0574,general_knowledge,instructional,3-4,13,beginner
edu_qa_0575,language_literacy,instructional,4-6,4,beginner
edu_qa_0576,general_knowledge,explanatory,4-6,19,beginner
edu_qa_0577,safety_community,factual,4-6,12,beginner
edu_qa_0578,nutrition_cooking,factual,4-6,10,beginner
edu_qa_0579,math_numbers,instructional,4-6,4,beginner
edu_qa_0580,social_emotional,explanatory,6-8,26,intermediate
edu_qa_0581,nutrition_cooking,explanatory,4-6,11,beginner
edu_qa_0582,math_numbers,general,4-6,1,beginner
edu_qa_0583,physical_activity,explanatory,4-6,22,intermediate
edu_qa_0584,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0585,nutrition_cooking,factual,4-6,11,beginner
edu_qa_0586,general_knowledge,factual,4-6,17,beginner
edu_qa_0587,general_knowledge,explanatory,4-6,10,beginner
edu_qa_0588,language_literacy,factual,4-6,12,beginner
edu_qa_0589,nutrition_cooking,factual,4-6,15,beginner
edu_qa_0590,safety_community,instructional,5-7,28,intermediate
edu_qa_0591,physical_activity,factual,4-6,1,beginner
edu_qa_0592,nutrition_cooking,factual,4-6,7,beginner
edu_qa_0593,math_numbers,explanatory,4-6,15,beginner
edu_qa_0594,physical_activity,factual,4-6,13,beginner
edu_qa_0595,nutrition_cooking,factual,4-6,1,beginner
edu_qa_0596,social_emotional,explanatory,4-6,23,intermediate
edu_qa_0597,arts_creativity,factual,4-6,2,beginner
edu_qa_0598,nutrition_cooking,factual,3-4,11,beginner
edu_qa_0599,language_literacy,factual,4-6,17,beginner
edu_qa_0600,social_emotional,instructional,4-6,12,beginner
edu_qa_0601,general_knowledge,general,4-6,14,beginner
edu_qa_0602,general_knowledge,explanatory,4-6,14,beginner
edu_qa_0603,general_knowledge,factual,4-6,10,beginner
edu_qa_0604,safety_community,explanatory,4-6,19,beginner
edu_qa_0605,nutrition_cooking,explanatory,4-6,17,beginner
edu_qa_0606,general_knowledge,factual,3-4,9,beginner
edu_qa_0607,math_numbers,explanatory,6-8,25,intermediate
edu_qa_0608,math_numbers,factual,4-6,14,beginner
edu_qa_0609,general_knowledge,factual,3-4,12,beginner
edu_qa_0610,general_knowledge,instructional,4-6,12,beginner
edu_qa_0611,nutrition_cooking,factual,4-6,13,beginner
edu_qa_0612,nature_science,factual,4-6,6,beginner
edu_qa_0613,general_knowledge,instructional,4-6,16,beginner
edu_qa_0614,language_literacy,factual,4-6,12,beginner
edu_qa_0615,general_knowledge,factual,4-6,2,beginner
edu_qa_0616,safety_community,explanatory,4-6,16,beginner
edu_qa_0617,general_knowledge,factual,4-6,10,beginner
edu_qa_0618,general_knowledge,factual,5-7,27,intermediate
edu_qa_0619,nutrition_cooking,factual,4-6,21,intermediate
edu_qa_0620,arts_creativity,factual,4-6,1,beginner
edu_qa_0621,health_body,explanatory,6-8,26,intermediate
edu_qa_0622,health_body,explanatory,4-6,18,beginner
edu_qa_0623,arts_creativity,instructional,3-4,10,beginner
edu_qa_0624,nutrition_cooking,instructional,5-7,35,intermediate
edu_qa_0625,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0626,general_knowledge,instructional,4-6,6,beginner
edu_qa_0627,math_numbers,instructional,3-4,11,beginner
edu_qa_0628,safety_community,factual,4-6,16,beginner
edu_qa_0629,nutrition_cooking,instructional,3-4,10,beginner
edu_qa_0630,physical_activity,general,3-4,7,beginner
edu_qa_0631,safety_community,explanatory,4-6,12,beginner
edu_qa_0632,general_knowledge,factual,4-6,12,beginner
edu_qa_0633,general_knowledge,explanatory,6-8,25,intermediate
edu_qa_0634,safety_community,explanatory,4-6,22,intermediate
edu_qa_0635,social_emotional,explanatory,4-6,6,beginner
edu_qa_0636,nutrition_cooking,instructional,4-6,12,beginner
edu_qa_0637,social_emotional,factual,3-4,13,beginner
edu_qa_0638,general_knowledge,factual,3-4,9,beginner
edu_qa_0639,nutrition_cooking,factual,4-6,9,beginner
edu_qa_0640,general_knowledge,factual,4-6,20,intermediate
edu_qa_0641,language_literacy,factual,4-6,11,beginner
edu_qa_0642,social_emotional,factual,4-6,13,beginner
edu_qa_0643,nutrition_cooking,factual,4-6,2,beginner
edu_qa_0644,language_literacy,explanatory,4-6,24,intermediate
edu_qa_0645,math_numbers,general,4-6,5,beginner
edu_qa_0646,arts_creativity,instructional,4-6,17,beginner
edu_qa_0647,general_knowledge,factual,5-7,25,intermediate
edu_qa_0648,nutrition_cooking,instructional,4-6,11,beginner
edu_qa_0649,general_knowledge,factual,4-6,12,beginner
edu_qa_0650,general_knowledge,factual,4-6,2,beginner
edu_qa_0651,safety_community,factual,4-6,9,beginner
edu_qa_0652,nutrition_cooking,explanatory,4-6,24,intermediate
edu_qa_0653,nutrition_cooking,explanatory,4-6,15,beginner
edu_qa_0654,general_knowledge,explanatory,4-6,7,beginner
edu_qa_0655,math_numbers,explanatory,4-6,23,intermediate
edu_qa_0656,language_literacy,factual,4-6,11,beginner
edu_qa_0657,nutrition_cooking,general,3-4,14,beginner
edu_qa_0658,social_emotional,general,4-6,14,beginner
edu_qa_0659,health_body,instructional,4-6,24,intermediate
edu_qa_0660,general_knowledge,factual,4-6,20,intermediate
edu_qa_0661,arts_creativity,factual,4-6,2,beginner
edu_qa_0662,nutrition_cooking,factual,3-4,10,beginner
edu_qa_0663,math_numbers,instructional,4-6,16,beginner
edu_qa_0664,nutrition_cooking,factual,4-6,9,beginner
edu_qa_0665,health_body,factual,4-6,15,beginner
edu_qa_0666,nutrition_cooking,explanatory,4-6,15,beginner
edu_qa_0667,general_knowledge,factual,4-6,1,beginner
edu_qa_0668,safety_community,general,4-6,13,beginner
edu_qa_0669,nutrition_cooking,factual,4-6,14,beginner
edu_qa_0670,health_body,factual,3-4,8,beginner
edu_qa_0671,nutrition_cooking,instructional,4-6,13,beginner
edu_qa_0672,general_knowledge,explanatory,4-6,16,beginner
edu_qa_0673,nutrition_cooking,explanatory,4-6,16,beginner
edu_qa_0674,arts_creativity,factual,4-6,15,beginner
edu_qa_0675,nutrition_cooking,factual,4-6,15,beginner
edu_qa_0676,social_emotional,factual,4-6,18,beginner
edu_qa_0677,nature_science,explanatory,4-6,18,beginner
edu_qa_0678,health_body,instructional,4-6,8,beginner
edu_qa_0679,safety_community,explanatory,4-6,17,beginner
edu_qa_0680,nutrition_cooking,factual,4-6,17,beginner
edu_qa_0681,safety_community,factual,4-6,2,beginner
edu_qa_0682,social_emotional,explanatory,4-6,10,beginner
edu_qa_0683,health_body,instructional,3-4,9,beginner
edu_qa_0684,safety_community,general,4-6,14,beginner
edu_qa_0685,language_literacy,factual,3-4,9,beginner
edu_qa_0686,nutrition_cooking,general,3-4,11,beginner
edu_qa_0687,general_knowledge,factual,3-4,11,beginner
edu_qa_0688,safety_community,instructional,3-4,14,beginner
edu_qa_0689,general_knowledge,explanatory,6-8,28,intermediate
edu_qa_0690,general_knowledge,factual,4-6,17,beginner
edu_qa_0691,physical_activity,factual,4-6,14,beginner
edu_qa_0692,arts_creativity,factual,4-6,16,beginner
edu_qa_0693,nutrition_cooking,factual,4-6,15,beginner
edu_qa_0694,social_emotional,factual,4-6,15,beginner
edu_qa_0695,general_knowledge,explanatory,4-6,21,intermediate
edu_qa_0696,health_body,factual,4-6,17,beginner
edu_qa_0697,nutrition_cooking,factual,4-6,16,beginner
edu_qa_0698,health_body,explanatory,4-6,22,intermediate
edu_qa_0699,physical_activity,factual,3-4,9,beginner
edu_qa_0700,nutrition_cooking,explanatory,4-6,12,beginner
edu_qa_0701,nutrition_cooking,factual,4-6,12,beginner
edu_qa_0702,safety_community,explanatory,4-6,16,beginner
edu_qa_0703,nature_science,explanatory,4-6,17,beginner
edu_qa_0704,general_knowledge,factual,4-6,2,beginner
edu_qa_0705,general_knowledge,factual,4-6,11,beginner
edu_qa_0706,general_knowledge,explanatory,4-6,23,intermediate
edu_qa_0707,social_emotional,explanatory,6-8,38,intermediate
edu_qa_0708,general_knowledge,factual,4-6,2,beginner
edu_qa_0709,nature_science,instructional,4-6,20,intermediate
edu_qa_0710,arts_creativity,explanatory,4-6,23,intermediate
edu_qa_0711,nature_science,factual,4-6,9,beginner
edu_qa_0712,health_body,factual,5-7,44,intermediate
edu_qa_0713,nutrition_cooking,factual,4-6,14,beginner
edu_qa_0714,general_knowledge,explanatory,4-6,20,intermediate
edu_qa_0715,safety_community,explanatory,4-6,23,intermediate
edu_qa_0716,social_emotional,explanatory,6-8,40,intermediate
edu_qa_0717,health_body,explanatory,6-8,28,intermediate
edu_qa_0718,nutrition_cooking,instructional,4-6,15,beginner
edu_qa_0719,general_knowledge,factual,4-6,5,beginner
edu_qa_0720,physical_activity,explanatory,4-6,13,beginner
edu_qa_0721,general_knowledge,explanatory,4-6,17,beginner
edu_qa_0722,social_emotional,explanatory,4-6,12,beginner
edu_qa_0723,nutrition_cooking,factual,4-6,21,intermediate
edu_qa_0724,arts_creativity,explanatory,3-4,14,beginner
edu_qa_0725,arts_creativity,factual,4-6,1,beginner
edu_qa_0726,nutrition_cooking,recall,4-6,8,beginner
edu_qa_0727,language_literacy,explanatory,4-6,15,beginner
edu_qa_0728,nutrition_cooking,general,3-4,12,beginner
